epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,480.523,0.50472,0.39745,0.56229,0.96167,0,0.70148,0.68821,0.74543,0.65676,0.70353,0.69085,0.74746,0.57539,0.42728,0.3051,0.46413,0.90805,0,0.00030333,0.00030333,0.00030333
29,497.779,0.50614,0.38772,0.51124,0.98807,0,0.7342,0.63046,0.72102,0.6198,0.73291,0.62951,0.71974,0.55239,0.42979,0.29155,0.43553,0.89764,0,0.000302231,0.000302231,0.000302231
30,514.905,0.50731,0.34838,0.53228,0.96019,0,0.80634,0.56465,0.63617,0.53637,0.79882,0.55539,0.6259,0.4647,0.44182,0.32781,0.45093,0.90299,0,0.000301132,0.000301132,0.000301132
31,531.964,0.51943,0.36966,0.51785,0.96208,0,0.68152,0.61441,0.62969,0.54327,0.73284,0.56798,0.63123,0.47922,0.42345,0.31992,0.48551,0.89786,0,0.000300033,0.000300033,0.000300033
32,549.043,0.49598,0.32804,0.53652,0.96602,0,0.61865,0.74488,0.71147,0.6086,0.61254,0.7377,0.70436,0.53726,0.44604,0.29081,0.45564,0.90958,0,0.000298934,0.000298934,0.000298934
33,566.157,0.51709,0.36773,0.5075,0.96608,0,0.55471,0.75272,0.588,0.51142,0.55482,0.75361,0.58671,0.43165,0.43125,0.31879,0.47819,0.89934,0,0.000297835,0.000297835,0.000297835
34,583.218,0.50863,0.36123,0.49027,0.97864,0,0.52568,0.76193,0.76365,0.67364,0.52568,0.76193,0.76376,0.60201,0.39103,0.28169,0.41016,0.87788,0,0.000296736,0.000296736,0.000296736
35,600.894,0.49285,0.35139,0.50073,0.94345,0,0.54946,0.92607,0.77202,0.68104,0.54731,0.92298,0.76508,0.61017,0.41429,0.30284,0.40128,0.88911,0,0.000295637,0.000295637,0.000295637
36,618.297,0.49124,0.38424,0.50782,0.942,0,0.62647,0.81665,0.79082,0.70127,0.62329,0.81331,0.78315,0.62394,0.42558,0.29992,0.42382,0.89423,0,0.000294539,0.000294539,0.000294539
37,635.727,0.50912,0.37021,0.52819,0.94995,0,0.67938,0.72281,0.79365,0.68517,0.6796,0.72306,0.79311,0.61019,0.42,0.3007,0.43365,0.90223,0,0.00029344,0.00029344,0.00029344
38,653.287,0.49195,0.36406,0.44349,0.9546,0,0.58945,0.59384,0.63497,0.5497,0.587,0.59101,0.63013,0.53575,0.4233,0.27257,inf,0.89917,0,0.000292341,0.000292341,0.000292341
39,670.483,0.48301,0.39871,0.4916,0.95302,0,0.58683,0.69092,0.65598,0.56174,0.58286,0.68683,0.65139,0.52263,0.39429,0.27901,inf,0.88148,0,0.000291242,0.000291242,0.000291242
40,687.429,0.51465,0.37702,0.50271,0.99224,0,0.48687,0.79393,0.7711,0.67435,0.48515,0.79298,0.76745,0.61696,0.40577,0.27429,0.42725,0.88578,0,0.000290143,0.000290143,0.000290143
41,704.339,0.47637,0.33107,0.47573,0.95481,0,0.70282,0.75401,0.72284,0.62281,0.69731,0.74759,0.71419,0.53962,0.4098,0.30555,0.41774,0.89612,0,0.000289044,0.000289044,0.000289044
42,721.267,0.48527,0.32996,0.45891,0.94819,0,0.56857,0.79679,0.67391,0.60623,0.56595,0.79345,0.66966,0.53686,0.38919,0.27843,0.44349,0.88017,0,0.000287945,0.000287945,0.000287945
43,738.189,0.46801,0.35445,0.49534,0.94232,0,0.52211,0.87909,0.73581,0.66458,0.51426,0.87008,0.73154,0.59947,0.37937,0.26797,0.38763,0.87653,0,0.000286846,0.000286846,0.000286846
44,755.078,0.48377,0.32023,0.4831,0.93911,0,0.54995,0.81621,0.73813,0.65693,0.5473,0.81337,0.73273,0.59866,0.40347,0.26222,0.44969,0.88921,0,0.000285747,0.000285747,0.000285747
45,772.071,0.46941,0.32827,0.50052,0.94718,0,0.57542,0.91509,0.77819,0.68311,0.57499,0.91459,0.77799,0.6081,0.39736,0.27119,0.40396,0.89136,0,0.000284648,0.000284648,0.000284648
46,789.016,0.45717,0.33671,0.47444,0.95059,0,0.58072,0.89171,0.78648,0.70235,0.58072,0.89171,0.78755,0.60927,0.393,0.26933,0.39966,0.88775,0,0.00028355,0.00028355,0.00028355
47,805.984,0.461,0.31009,0.42928,0.94273,0,0.68044,0.70768,0.72483,0.64454,0.68044,0.70768,0.72284,0.58105,0.38032,0.25874,0.43174,0.88564,0,0.000282451,0.000282451,0.000282451
48,822.935,0.46706,0.32772,0.45486,0.94873,0,0.61702,0.79718,0.67974,0.59793,0.61723,0.79743,0.68006,0.5318,0.38854,0.26926,0.40245,0.88096,0,0.000281352,0.000281352,0.000281352
49,839.902,0.47886,0.34216,0.45219,0.95633,0,0.58641,0.75394,0.639,0.56476,0.58664,0.75419,0.63956,0.50308,0.4002,0.29563,0.44324,0.89001,0,0.000280253,0.000280253,0.000280253
50,857.047,0.48326,0.34138,0.48039,0.95111,0,0.56857,0.73133,0.60955,0.52851,0.56513,0.72774,0.60461,0.46812,0.4103,0.30219,0.4757,0.89899,0,0.000279154,0.000279154,0.000279154
51,873.999,0.48095,0.30397,0.45741,0.95785,0,0.67044,0.80781,0.68503,0.59847,0.66762,0.80448,0.68223,0.54729,0.38339,0.25784,0.3957,0.87889,0,0.000278055,0.000278055,0.000278055
52,890.945,0.45222,0.32709,0.472,0.93931,0,0.62156,0.79456,0.67983,0.59536,0.62178,0.79481,0.68023,0.53946,0.38529,0.26197,0.44766,0.88006,0,0.000276956,0.000276956,0.000276956
53,907.88,0.47719,0.35103,0.49404,0.94641,0,0.58397,0.76074,0.79857,0.72703,0.58419,0.76099,0.80052,0.66908,0.39638,0.26788,0.39221,0.88456,0,0.000275857,0.000275857,0.000275857
54,925.068,0.4653,0.30808,0.46273,0.93277,0,0.54532,0.88269,0.72516,0.63815,0.54532,0.88269,0.72522,0.5785,0.39465,0.25639,0.40072,0.88154,0,0.000274758,0.000274758,0.000274758
55,941.975,0.45248,0.30352,0.44425,0.91954,0,0.58213,0.82477,0.74799,0.66507,0.57875,0.82118,0.742,0.59618,0.4082,0.28864,0.41701,0.89099,0,0.000273659,0.000273659,0.000273659
56,958.893,0.45619,0.30032,0.45289,0.9222,0,0.51038,0.8888,0.77935,0.6851,0.51016,0.88855,0.7793,0.6278,0.42966,0.27386,0.42965,0.89922,0,0.000272561,0.000272561,0.000272561
57,975.98,0.43636,0.30364,0.42109,0.9173,0,0.69508,0.62464,0.66536,0.58871,0.69665,0.62414,0.66538,0.51542,0.38233,0.2783,0.42924,0.86915,0,0.000271462,0.000271462,0.000271462
58,992.914,0.44035,0.33527,0.45085,0.93276,0,0.63902,0.73442,0.69304,0.61296,0.63299,0.72825,0.68692,0.55411,0.39087,0.26642,0.41483,0.87718,0,0.000270363,0.000270363,0.000270363
59,1009.82,0.44035,0.33054,0.42948,0.93061,0,0.59862,0.77958,0.638,0.56492,0.59309,0.77341,0.63364,0.49857,0.38093,0.26051,0.38251,0.86987,0,0.000269264,0.000269264,0.000269264
60,1026.72,0.47407,0.34252,0.45028,0.94073,0,0.76818,0.61192,0.70836,0.61249,0.76796,0.61167,0.70835,0.56674,0.38168,0.26785,0.3943,0.86477,0,0.000268165,0.000268165,0.000268165
61,1043.64,0.44922,0.31048,0.42509,0.91485,0,0.51727,0.94572,0.76309,0.68639,0.51543,0.94576,0.76342,0.63781,0.36633,0.24475,0.38773,0.85972,0,0.000267066,0.000267066,0.000267066
62,1060.56,0.41671,0.29969,0.42232,0.91272,0,0.60366,0.82144,0.73744,0.67283,0.60323,0.82094,0.73714,0.61066,0.37246,0.24626,0.42702,0.86595,0,0.000265967,0.000265967,0.000265967
63,1077.41,0.42988,0.33317,0.42117,0.91711,0,0.69597,0.69472,0.71412,0.62527,0.69592,0.69466,0.71353,0.59173,0.36462,0.24264,0.40905,0.86239,0,0.000264868,0.000264868,0.000264868
64,1094.29,0.45962,0.34726,0.43047,0.94264,0,0.55473,0.66199,0.72661,0.63124,0.55101,0.66199,0.72619,0.57112,0.40448,0.25878,0.43873,0.8879,0,0.000263769,0.000263769,0.000263769
65,1111.37,0.44138,0.30943,0.40911,0.93239,0,0.54589,0.69852,0.72567,0.6403,0.5457,0.69827,0.72562,0.58661,0.37017,0.26654,0.41653,0.86877,0,0.00026267,0.00026267,0.00026267
66,1128.26,0.43415,0.31557,0.43075,0.9421,0,0.74386,0.57259,0.67438,0.57886,0.74386,0.57259,0.67435,0.54196,0.37284,0.26389,0.45172,0.87285,0,0.000261572,0.000261572,0.000261572
67,1145.19,0.44389,0.30827,0.41809,0.93065,0,0.8622,0.53899,0.73125,0.62823,0.86243,0.53924,0.73132,0.57758,0.35966,0.26365,0.41763,0.86811,0,0.000260473,0.000260473,0.000260473
68,1162.08,0.43146,0.30981,0.42643,0.92083,0,0.83515,0.58197,0.74859,0.65296,0.85374,0.59369,0.75123,0.60033,0.37371,0.25569,0.3973,0.87136,0,0.000259374,0.000259374,0.000259374
